file_name,segment_id,segment_type,gold_text,is_required,evaluation_scope,reviewer_note
img_1.png,profile_name,account_name,食影双修,TRUE,business_content,账号名称
img_1.png,profile_intro,profile_bio,食饮双修，抖音视频创作者，其IP属地为河北。专注于影视解说视频的创作。,TRUE,business_content,账号简介；排除粉丝数、获赞数和作品数量
img_1.png,card_01_cover_title,cover_title,风波不断,TRUE,business_content,第一张作品封面标题
img_1.png,card_01_caption,content_caption,《功夫女足》竟风波不断,TRUE,business_content,第一张作品说明的主句；排除话题标签
img_1.png,card_02_cover_title,cover_title,商战,TRUE,business_content,第二张作品封面标题
img_1.png,card_02_caption_line_01,content_caption,我误入了针对周星驰的商战！你以,TRUE,business_content,第二张作品说明第一行
img_1.png,card_02_caption_line_02,content_caption,为天才就不用挨揍了？,TRUE,business_content,第二张作品说明第二行；排除被界面截断的后续话题标签
img_1.png,card_03_cover_line_01,cover_title,周星驰,TRUE,business_content,第三张作品封面标题第一部分
img_1.png,card_03_cover_line_02,cover_title,回来了,TRUE,business_content,第三张作品封面标题第二部分
img_1.png,card_03_caption,content_caption,《功夫女足》首评来了！,TRUE,business_content,第三张作品说明的主句；排除话题标签
img_1.png,card_04_cover_title,cover_title,年会不能停,TRUE,business_content,第四张作品封面主标题
img_1.png,card_04_cover_episode,cover_title,P4,TRUE,business_content,第四张作品封面集数
img_1.png,card_04_caption,content_caption,职场人情世故，你能接受吗？,TRUE,business_content,第四张作品说明的主句；排除话题标签
img_1.png,card_05_cover_title,cover_title,年会不能停,TRUE,business_content,第五张作品封面主标题
img_1.png,card_05_cover_episode,cover_title,P3,TRUE,business_content,第五张作品封面集数
img_1.png,card_05_caption,content_caption,年会的职场生态！,TRUE,business_content,第五张作品说明的主句；排除话题标签
img_1.png,card_06_cover_title,cover_title,年会不能停,TRUE,business_content,第六张作品封面主标题
img_1.png,card_06_cover_episode,cover_title,P2,TRUE,business_content,第六张作品封面集数
img_1.png,card_06_caption_line_01,content_caption,胡健林的职场生态！《年会不能停》,TRUE,business_content,第六张作品说明第一行
img_1.png,card_06_caption_line_02,content_caption,解说,TRUE,business_content,第六张作品说明第二行；排除话题标签
img_2.png,video_author,account_name,食影双修,TRUE,business_content,用户已确认；账号名称
img_2.png,video_caption,content_caption,第13集：三小时全网超精细解读《九品芝麻官》典故，原型，细节！,TRUE,business_content,用户已确认；作品说明主句
img_2.png,video_topic_01,content_topic_tag,#影娱热点团,TRUE,business_content,用户已确认；作品说明末尾话题标签
img_2.png,video_topic_02,content_topic_tag,#周星驰,TRUE,business_content,用户已确认；第二行话题标签
img_2.png,video_topic_03,content_topic_tag,#一口气看完系列,TRUE,business_content,用户已确认；第二行话题标签
img_2.png,video_topic_04,content_topic_tag,#影视解说,TRUE,business_content,用户已确认；第二行话题标签
img_2.png,video_collection,collection_title,九品芝麻官,TRUE,business_content,用户已确认；合集名称，排除“合集”和“已是最新集”等界面状态文字
img_2.png,video_subtitle,video_subtitle,面临整体上的转型,TRUE,business_content,用户已确认；当前视频画面字幕
img_7.jpg,chart_title,chart_title,SPEC 2017 CPU测试,TRUE,business_content,图表标题；保留测试主题
img_7.jpg,test_environment,chart_environment,编译环境：Ubuntu 20.04.5 LTS aarch64,TRUE,business_content,测试环境说明；去除视觉空格差异
img_7.jpg,compiler_flags,chart_environment,Flags：-g -O3 -mcpu=native -static -fallow-argument-mismatch,TRUE,business_content,编译参数说明；影响图表可解释性
img_7.jpg,legend_int,legend_label,INT整数,TRUE,business_content,蓝色条形图图例
img_7.jpg,legend_fp,legend_label,FP浮点,TRUE,business_content,紫色条形图图例
img_7.jpg,row_01_core,cpu_core_name,Cortex-X3,TRUE,business_content,第一组CPU核心名称
img_7.jpg,row_01_chip,chip_model,骁龙8 Gen 2,TRUE,business_content,第一组芯片型号
img_7.jpg,row_01_device,device_model,小米13,TRUE,business_content,第一组测试设备
img_7.jpg,row_01_clock,clock_speed,2.34GHz,TRUE,business_content,第一组频率
img_7.jpg,row_01_int_score,benchmark_score,4.78,TRUE,business_content,第一组INT整数分数
img_7.jpg,row_01_fp_score,benchmark_score,8.08,TRUE,business_content,第一组FP浮点分数
img_7.jpg,row_02_core,cpu_core_name,Cortex-X2,TRUE,business_content,第二组CPU核心名称
img_7.jpg,row_02_chip,chip_model,骁龙8+,TRUE,business_content,第二组芯片型号
img_7.jpg,row_02_device,device_model,红米K50 至尊版,TRUE,business_content,第二组测试设备
img_7.jpg,row_02_clock,clock_speed,2.36GHz,TRUE,business_content,第二组频率
img_7.jpg,row_02_int_score,benchmark_score,4.36,TRUE,business_content,第二组INT整数分数
img_7.jpg,row_02_fp_score,benchmark_score,7.56,TRUE,business_content,第二组FP浮点分数
img_7.jpg,row_03_core,cpu_core_name,Cortex-X1,TRUE,business_content,第三组CPU核心名称
img_7.jpg,row_03_chip,chip_model,骁龙888,TRUE,business_content,第三组芯片型号
img_7.jpg,row_03_device,device_model,魅族18,TRUE,business_content,第三组测试设备
img_7.jpg,row_03_clock,clock_speed,2.27GHz,TRUE,business_content,第三组频率
img_7.jpg,row_03_int_score,benchmark_score,3.92,TRUE,business_content,第三组INT整数分数
img_7.jpg,row_03_fp_score,benchmark_score,6.53,TRUE,business_content,第三组FP浮点分数
img_7.jpg,row_04_core,cpu_core_name,泰山超大核,TRUE,business_content,第四组CPU核心名称
img_7.jpg,row_04_chip,chip_model,麒麟9010,TRUE,business_content,第四组芯片型号
img_7.jpg,row_04_device,device_model,华为Pura 70 Ultra,TRUE,business_content,第四组测试设备
img_7.jpg,row_04_clock,clock_speed,2.30GHz,TRUE,business_content,第四组频率
img_7.jpg,row_04_int_score,benchmark_score,4.54,TRUE,business_content,第四组INT整数分数
img_7.jpg,row_04_fp_score,benchmark_score,7.77,TRUE,business_content,第四组FP浮点分数
img_7.jpg,row_05_core,cpu_core_name,泰山大核,TRUE,business_content,第五组CPU核心名称
img_7.jpg,row_05_chip,chip_model,麒麟9000S,TRUE,business_content,第五组芯片型号
img_7.jpg,row_05_device,device_model,华为Mate X5,TRUE,business_content,第五组测试设备
img_7.jpg,row_05_clock,clock_speed,2.35GHz,TRUE,business_content,第五组频率
img_7.jpg,row_05_int_score,benchmark_score,3.64,TRUE,business_content,第五组INT整数分数
img_7.jpg,row_05_fp_score,benchmark_score,6.49,TRUE,business_content,第五组FP浮点分数
img_8.jpg,chip_9000s_label,chip_label,Kirin 9000S,TRUE,business_content,上方芯片名称
img_8.jpg,chip_9000s_big_01_core,cpu_core_name,泰山大核,TRUE,business_content,9000S第一颗大核名称
img_8.jpg,chip_9000s_big_01_clock,clock_speed,2.62GHz,TRUE,business_content,9000S第一颗大核频率
img_8.jpg,chip_9000s_big_01_cache,cache_size,1MB L2,TRUE,business_content,9000S第一颗大核二级缓存
img_8.jpg,chip_9000s_big_02_core,cpu_core_name,泰山大核,TRUE,business_content,9000S第二颗大核名称
img_8.jpg,chip_9000s_big_02_clock,clock_speed,2.15GHz,TRUE,business_content,9000S第二颗大核频率
img_8.jpg,chip_9000s_big_02_cache,cache_size,512KB L2,TRUE,business_content,9000S第二颗大核二级缓存
img_8.jpg,chip_9000s_big_03_core,cpu_core_name,泰山大核,TRUE,business_content,9000S第三颗大核名称
img_8.jpg,chip_9000s_big_03_clock,clock_speed,2.15GHz,TRUE,business_content,9000S第三颗大核频率
img_8.jpg,chip_9000s_big_03_cache,cache_size,512KB L2,TRUE,business_content,9000S第三颗大核二级缓存
img_8.jpg,chip_9000s_big_04_core,cpu_core_name,泰山大核,TRUE,business_content,9000S第四颗大核名称
img_8.jpg,chip_9000s_big_04_clock,clock_speed,2.15GHz,TRUE,business_content,9000S第四颗大核频率
img_8.jpg,chip_9000s_big_04_cache,cache_size,512KB L2,TRUE,business_content,9000S第四颗大核二级缓存
img_8.jpg,chip_9000s_little_01_core,cpu_core_name,A510,TRUE,business_content,9000S第一颗能效核心名称
img_8.jpg,chip_9000s_little_01_clock,clock_speed,1.5GHz,TRUE,business_content,9000S第一颗能效核心频率
img_8.jpg,chip_9000s_little_02_core,cpu_core_name,A510,TRUE,business_content,9000S第二颗能效核心名称
img_8.jpg,chip_9000s_little_02_clock,clock_speed,1.5GHz,TRUE,business_content,9000S第二颗能效核心频率
img_8.jpg,chip_9000s_little_03_core,cpu_core_name,A510,TRUE,business_content,9000S第三颗能效核心名称
img_8.jpg,chip_9000s_little_03_clock,clock_speed,1.5GHz,TRUE,business_content,9000S第三颗能效核心频率
